latitude,longitude,landslide_trigger,landslide_setting,landslide_category
-14.2781,-170.5825,downpour,,landslide
15.6019,73.8093,monsoon,,landslide
-19.9167,-43.9333,downpour,,mudslide
43.4379,-124.0083,,above_road,landslide
45.5832,-122.7689,downpour,,complex
30.9085,78.3299,continuous_rain,above_road,landslide
40.4891,-79.93,,above_road,landslide
43.2982,-122.9342,,above_road,landslide
17.5861,73.1742,downpour,,landslide
10.715,122.2342,downpour,,landslide
47.5792,-120.8005,downpour,,debris_flow
47.7307,-121.4089,downpour,,mudslide
45.9656,-74.3311,continuous_rain,,landslide
31.944,77.1179,downpour,,landslide
11.344,76.8691,downpour,,rock_fall
22,92.3333,downpour,,landslide
29.5987,79.6592,downpour,,landslide
43.1674,-91.1351,rain,,landslide
45.8278,-115.4392,,above_road,landslide
43.9701,39.4476,continuous_rain,natural_slope,mudslide
44.6467,7.6639,downpour,,mudslide
17.686,121.8726,downpour,,landslide
16.9945,120.8209,downpour,,landslide
6.8907,-73.4081,rain,above_road,rock_fall
18.0502,-76.3994,rain,,mudslide
49.5622,-123.2317,rain,,complex
13.7874,-89.16,downpour,,landslide
38.0072,-108.044,downpour,above_road,mudslide
38.9249,-107.5447,downpour,,mudslide
22.3507,91.8147,downpour,urban,other
44.5545,-120.3206,,above_road,landslide
17.2568,-96.0289,tropical_cyclone,,mudslide
18.0445,-76.2781,downpour,,landslide
9.68618726,125.57032204,tropical_cyclone,,landslide
-7.3519,109.7489,continuous_rain,,landslide
45.4772,-122.5092,downpour,above_road,debris_flow
26.8073,88.3162,downpour,,landslide
37.9547,-81.5396,,above_road,mudslide
-0.6273,-78.3664,downpour,,mudslide
22.3475,91.8123,,,landslide
6.1699,-0.279,continuous_rain,deforested_slope,rock_fall
47.3093,-122.2536,,above_road,mudslide
26.7223,95.0243,continuous_rain,,landslide
-22.411,-43.0304,downpour,,landslide
25.7262,108.7399,,urban,landslide
-26.3402,31.141,downpour,,landslide
43.6691,-123.9253,,above_road,landslide
-6.892,107.1749,downpour,,landslide
43.3047,-122.5167,,above_road,landslide
0.0482,34.7222,rain,natural_slope,landslide
37.8356,-81.969,rain,,mudslide
-0.356,-78.148,downpour,,landslide
28.935,82.3125,continuous_rain,,landslide
30.8987,78.3399,downpour,,landslide
47.4481,-122.3633,downpour,,landslide
27.9167,84.25,rain,,landslide
35.4962,-84.2738,downpour,,mudslide
49.8153,-102.3192,rain,,landslide
13.1807,43.9549,downpour,,landslide
34.0873,-116.9176,downpour,,mudslide
44.049,-122.8753,,above_road,landslide
44.0091,-123.7615,,above_road,landslide
38.9519,-81.9082,rain,above_road,rock_fall
1.0439,34.2583,rain,,landslide
-22.4804,-43.1852,downpour,,mudslide
